["7. \u041f\u0443\u0441\u0442\u043e\u0439 \u0441\u043b\u043e\u0442.", "7. Empty slot."]
["6. \u041f\u0443\u0441\u0442\u043e\u0439 \u0441\u043b\u043e\u0442.", "6. Empty slot."]
["8. \u041f\u0443\u0441\u0442\u043e\u0439 \u0441\u043b\u043e\u0442.", "8. Empty slot."]
["\u0412\u0435\u0440\u0441\u0438\u044f: 0.3.0", "Version: 0.3.0"]
["\u0420\u0430\u0437\u0440\u0430\u0431\u043e\u0442\u0447\u0438\u043a", "Developer"]
["10. \u041f\u0443\u0441\u0442\u043e\u0439 \u0441\u043b\u043e\u0442.", "10. Empty slot."]
["\u0412\u044b \u0443\u0432\u0435\u0440\u0435\u043d\u044b, \u0447\u0442\u043e \u0445\u043e\u0442\u0438\u0442\u0435 \u0432\u044b\u0439\u0442\u0438?", "Are you sure you want to quit?"]
["5. \u041f\u0443\u0441\u0442\u043e\u0439 \u0441\u043b\u043e\u0442.", "5. Empty slot."]
["4. \u041f\u0443\u0441\u0442\u043e\u0439 \u0441\u043b\u043e\u0442.", "4. Empty slot."]
["9. \u041f\u0443\u0441\u0442\u043e\u0439 \u0441\u043b\u043e\u0442.", "9. Empty slot."]
